اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
ضاحية الأمانة,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,ضاحية الأمانة,31.9120,35.9320
ضاحية الأمير حسن,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,ضاحية الأمير حسن,31.9860,35.9230
ضاحية الأمير راشد,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,ضاحية الأمير راشد,31.9680,35.8500
ضاحية الأمير زيد,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,ضاحية الأمير زيد,31.9950,35.9380
ضاحية الأمير علي,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,ضاحية الأمير علي,31.9960,35.9450
ضاحية الأميرة هيا,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,ضاحية الأميرة هيا,32.0010,35.9550
ضاحية الأوقاف,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,ضاحية الأوقاف,31.9900,35.8750
ضاحية الاستقلال,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن النزهة,ضاحية الاستقلال,31.9750,35.9350
ضاحية الامير غازي بن محمد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,ضاحية الامير غازي بن محمد,32.0744,35.7141
ضاحية الاميرة سلمى,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,ضاحية الاميرة سلمى,32.0731,36.1073
ضاحية البستان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ضاحية البستان,32.1070,36.0549
ضاحية الحاج حسن,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن المقابلين,ضاحية الحاج حسن,31.9160,35.9400
ضاحية الحسين,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,ضاحية الحسين,31.9830,35.8770
ضاحية الرشيد,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,ضاحية الرشيد,31.9970,35.8926
